instname,control,tuition,revenue,fed_grant_avg_amount,state_grant_avg_amount,inst_grant_avg,loan_avg_amount,totaldegrees,total_enrollment,all_employees,tuition02_tf
University of Phoenix-Online Campus,3,3552223903,3479529376,4376,996,585,10083,71256,380232,26977,9192
The University of Texas at Austin,1,1577358114,9524382216,5644,4993,3213,5453,44344,208961,69857,8930
New York University,2,1539431000,3377625000,6482,3742,16598,8260,13171,43404,17671,36586
Pennsylvania State University-Main Campus,1,1381794000,4460367000,5436,3091,4279,6931,18964,80754,27933,13604
CUNY City College,1,1235936447,3525722222,4744,2590,4206,4145,38600,259515,38801,4600
University of Southern California,2,1152480000,3139912000,5396,9657,22181,6689,10450,34824,17598,38570
Columbia University in the City of New York,2,1043833831,4125163465,5380,3588,34109,7546,11376,29537,20510,39296
University of Illinois at Chicago,1,1035187188,4901242755,5324,5679,4880,6259,18974,75698,35642,8342
Boston University,2,1004001784,1667040908,6532,2345,22813,9825,9072,31960,12042,37910
University of Michigan-Ann Arbor,1,957414000,5629823000,5944,602,10067,6727,11587,41674,24469,11470
Kaplan University,3,940622515,763821838,4800,2281,1814,11190,7810,71802,8556,12708
University of Pennsylvania,2,931535000,6074477000,7833,2519,30568,5567,7157,24599,16557,34868
Harvard University,2,883013000,5348051000,5332,2738,34621,4448,7058,27651,18075,33696
Ohio State University-Main Campus,1,785413623,4564663793,4828,1670,4975,6047,14671,63217,30863,7983
Northwestern University,2,726246000,2130137000,7734,4693,23666,5978,6081,19853,9346,38463
Cornell University,2,715037682,2038599564,6332,2182,29758,5431,6428,20633,12220,37750
University of Massachusetts-Boston,1,713347946,2654223684,4967,2430,3108,6272,13097,65923,19965,1714
Arizona State University,1,711138000,1489812000,4643,1954,7773,5357,16380,68064,12084,5997
George Washington University,2,709757000,1122891000,6045,959,25813,6060,7194,25061,6762,39962
Northeastern University,2,697814126,799935126,7506,1825,16246,6264,6335,27537,4818,34950
Rutgers University-Camden,1,697339000,1975139000,5308,7260,5856,7517,12314,54648,13468,9546
Indiana University-Bloomington,1,682242202,1282157178,5112,5371,6949,6692,9740,42347,11693,7722
University of Minnesota-Twin Cities,1,654419272,2706299522,5354,2971,3503,6486,11979,51716,22995,9120
Michigan State University,1,636309273,1968632745,5716,2968,3621,6326,11080,47071,14366,10913
University of Missouri-Columbia,1,630497715,2721031224,4953,1720,4727,6175,14531,69384,28108,7368
Johns Hopkins University,2,618272000,4330093000,5595,3472,25856,5939,6146,20383,20917,39150
Temple University,1,613695000,2195651285,5131,3334,4747,7235,8051,36507,8939,11174
University of Washington-Seattle Campus,1,610418709,3838339639,5443,6032,5014,5323,13772,51938,22089,7125
Syracuse University,2,608646865,821674914,6854,2984,22553,7657,4585,19638,6413,33630
University of California-Los Angeles,1,603432000,4847416000,5491,6144,8060,5675,11608,38550,22283,6888
DeVry University-Illinois,3,601430687,596340943,4154,3775,2763,7588,5070,30127,5514,14400
University of Pittsburgh-Pittsburgh Campus,1,600771858,2060311687,4828,3205,9325,7632,8248,35394,14748,13344
University of Chicago,2,573723955,3131317077,6192,4458,28556,6440,4486,15094,11194,38550
Drexel University,2,572230505,780257324,5181,3057,13685,15746,5201,22493,6124,29800
University of California-Berkeley,1,556252000,2033088000,5276,6891,7957,5199,10383,35830,16612,6888
Purdue University-Main Campus,1,554796813,1670904075,5492,4321,4751,6429,8938,41052,15470,8183
Georgetown University,2,547424000,1059862000,7261,969,26217,5372,5097,16520,6413,38616
DePaul University,2,538653000,561009000,4966,4871,13307,5831,6280,25072,4008,26765
University of Miami,2,535490996,2310037972,6345,6138,22374,8499,4285,15629,11056,35540
Stanford University,2,535245000,3450481000,6071,9567,31535,6242,4712,18498,16424,37380
Duke University,2,530020000,4511688000,10048,2152,33213,4755,4050,14350,18468,37485
Nova Southeastern University,2,526308809,575778376,5257,4715,6962,7184,7419,29153,4334,20550
St. John's University-New York,2,490163640,475541726,5419,3222,16769,6922,4098,20352,3266,29350
University of Colorado at Boulder,1,480701344,1078212008,5692,1178,3409,6749,7167,33010,9174,6446
Boston College,2,474257371,821848442,6741,1302,27177,4070,4175,15036,4637,38530
University of Arizona,1,469086000,1488728000,4870,2704,6322,6164,7978,38767,14396,6540
Massachusetts Institute of Technology,2,468570000,3071182000,7474,2117,32094,5994,3296,10384,14101,37510
Texas A & M University,1,452805619,1878675363,4952,4104,4993,6988,11205,48702,11285,5152
Emory University,2,448689000,3215630815,6793,4145,24794,6063,3925,12930,11580,37500
Fordham University,2,443316994,500199374,5844,3909,16978,7862,4150,14544,3345,35717
Liberty University,2,434628991,417319968,4660,2836,6332,6807,7339,46312,3448,15992
Washington University in St Louis,2,427952252,2613970330,3542,2805,23205,5967,3863,13575,13361,37800
Carnegie Mellon University,2,426852214,987480415,7608,2804,21486,6771,3584,11197,7070,39470
University of Maryland-College Park,1,422194424,1476927085,5093,3184,6194,6608,9515,37195,13081,6566
University of Notre Dame,2,419271000,1337332000,10144,2007,26534,5606,3368,11816,5959,37970
University of Virginia-Main Campus,1,417351804,2560166336,4948,7042,12548,6364,6182,24355,10250,7496
Vanderbilt University,2,415440486,3574127362,7696,5632,33832,6052,3496,12506,23048,37632
The University of Tennessee,1,413467126,1792152936,4929,4256,3451,5976,9846,48623,17966,5918
Loyola University Chicago,2,411909706,560383411,6315,4782,12672,8756,3967,15879,3609,29850
Baylor University,2,399351000,429782000,5093,4084,12277,9627,3672,14614,3452,25320
American University,2,393303000,553545000,5420,912,20679,8128,3448,12241,3634,34456
University of Cincinnati-Main Campus,1,392458502,1024120341,4478,927,3992,6390,7254,39667,10046,7896
University of South Carolina-Columbia,1,391788631,839046247,5178,5171,3930,6352,6409,28482,8052,8756
